backend,received_at_utc,instance,backend_version,processor_family,processor_revision,online_date,n_qubits,coupling_map_edges,basis_gates,supported_instructions,target_operations,default_rep_delay (us),rep_delay_range (us),dt (ns),dtm (ns),max_shots,max_experiments,delay_granularity (dt),delay_min_length (dt),pulse_alignment (dt),acquire_alignment (dt),reset duration min (ns),reset duration median (ns),reset duration max (ns),measure duration min (ns),measure duration median (ns),measure duration max (ns),cz duration min (ns),cz duration median (ns),cz duration max (ns),sx duration min (ns),sx duration median (ns),sx duration max (ns),x duration min (ns),x duration median (ns),x duration max (ns),rx duration min (ns),rx duration median (ns),rx duration max (ns),xslow duration min (ns),xslow duration median (ns),xslow duration max (ns),configuration_file,configuration_sha256
ibm_phoenix,2026-09-19T19:25:11Z,primary,1.0.0,Nighthawk,2,2026-07-28 04:00:00+00:00,120,436,"cz,id,rx,rz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,rz,sx,x,if_else,store,xslow,rx","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,rx,rz,sx,x,xslow",1.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,400.0,400.0,2140.0,1940.0,1940.0,1940.0,68.0,68.0,208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1000.0,1000.0,1000.0,ibm_phoenix_configuration_20260919T192511Z.json.gz,1801f933d36d897323d88d0c91d444adfe47566ac7716fc68e7856661e0bce83
ibm_marrakesh,2026-09-19T19:25:15Z,open,1.0.21,Heron,2,2024-08-07 04:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2720.0,2720.0,2720.0,2684.0,2684.0,2684.0,68.0,68.0,96.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1000.0,1000.0,1000.0,ibm_marrakesh_configuration_20260919T192515Z.json.gz,d089f38249cdbc2df1405945fa47fcd02524b835b6325fd22d2d71cc460c2132
ibm_kingston,2026-09-19T19:25:16Z,open,1.0.0,Heron,2,2025-02-20 05:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2212.0,2212.0,2212.0,2180.0,2180.0,2180.0,68.0,68.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1000.0,1000.0,1000.0,ibm_kingston_configuration_20260919T192516Z.json.gz,53edb03bb00b43286e191020c90ca8f20da9f65577782e5a4a35c94a03638966
ibm_phoenix,2026-09-20T03:05:47Z,primary,1.0.0,Nighthawk,2,2026-07-28 04:00:00+00:00,120,436,"cz,id,rx,rz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,rz,sx,x,if_else,store,xslow,rx","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,rx,rz,sx,x,xslow",1.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,400.0,400.0,2140.0,1940.0,1940.0,1940.0,68.0,68.0,208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1000.0,1000.0,1000.0,ibm_phoenix_configuration_20260919T192511Z.json.gz,1801f933d36d897323d88d0c91d444adfe47566ac7716fc68e7856661e0bce83
ibm_marrakesh,2026-09-20T03:05:51Z,open,1.0.21,Heron,2,2024-08-07 04:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2720.0,2720.0,2720.0,2684.0,2684.0,2684.0,68.0,68.0,96.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1000.0,1000.0,1000.0,ibm_marrakesh_configuration_20260919T192515Z.json.gz,d089f38249cdbc2df1405945fa47fcd02524b835b6325fd22d2d71cc460c2132
ibm_kingston,2026-09-20T03:05:52Z,open,1.0.0,Heron,2,2025-02-20 05:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2212.0,2212.0,2212.0,2180.0,2180.0,2180.0,68.0,68.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1000.0,1000.0,1000.0,ibm_kingston_configuration_20260919T192516Z.json.gz,53edb03bb00b43286e191020c90ca8f20da9f65577782e5a4a35c94a03638966
ibm_phoenix,2026-09-20T03:08:14Z,primary,1.0.0,Nighthawk,2,2026-07-28 04:00:00+00:00,120,436,"cz,id,rx,rz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,rz,sx,x,if_else,store,xslow,rx","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,rx,rz,sx,x,xslow",1.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,400.0,400.0,2140.0,1940.0,1940.0,1940.0,68.0,68.0,208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1000.0,1000.0,1000.0,ibm_phoenix_configuration_20260919T192511Z.json.gz,1801f933d36d897323d88d0c91d444adfe47566ac7716fc68e7856661e0bce83
ibm_marrakesh,2026-09-20T03:08:17Z,open,1.0.21,Heron,2,2024-08-07 04:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2720.0,2720.0,2720.0,2684.0,2684.0,2684.0,68.0,68.0,96.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1000.0,1000.0,1000.0,ibm_marrakesh_configuration_20260919T192515Z.json.gz,d089f38249cdbc2df1405945fa47fcd02524b835b6325fd22d2d71cc460c2132
ibm_kingston,2026-09-20T03:08:18Z,open,1.0.0,Heron,2,2025-02-20 05:00:00+00:00,156,352,"cz,id,rx,rz,rzz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,reset_2,rz,sx,x,if_else,store,xslow,rx,rzz","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,reset_2,rx,rz,rzz,sx,x,xslow",250.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,2212.0,2212.0,2212.0,2180.0,2180.0,2180.0,68.0,68.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1000.0,1000.0,1000.0,ibm_kingston_configuration_20260919T192516Z.json.gz,53edb03bb00b43286e191020c90ca8f20da9f65577782e5a4a35c94a03638966
ibm_phoenix,2026-09-21T03:08:28Z,primary,1.0.0,Nighthawk,2,2026-07-28 04:00:00+00:00,120,436,"cz,id,rx,rz,sx,x,xslow","cz,id,delay,measure,measure_reset,measure_2,measure_reset_2,reset,rz,sx,x,if_else,store,xslow,rx","cz,delay,id,if_else,measure,measure_2,measure_reset,measure_reset_2,reset,rx,rz,sx,x,xslow",1.0,0.0;2000.0,4.0,4.0,100000,300,1,2,1,1,400.0,400.0,2140.0,1940.0,1940.0,1940.0,68.0,68.0,208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1000.0,1000.0,1000.0,ibm_phoenix_configuration_20260919T192511Z.json.gz,1801f933d36d897323d88d0c91d444adfe47566ac7716fc68e7856661e0bce83
