"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","XSLOW error","CZ error","Gate length (ns)","MEASURE error","MEASURE_2 error","Operational"
"0","166.44859339331308","59.48402260701529","0.00537109375","0.00001","0.01025390625","0.00048828125","1940","0.00024421070413335066","40","0.00024421070413335066","0","0.00024421070413335066","0.00024421070413335066","0.00024421070413335066","1:0.0022188059991422038;10:0.0018929885171844463","1:68;10:68","0.00537109375","0.006103515625","Yes"
"1","171.2083678975834","131.451734461659","0.007080078125","0.00001","0.00732421875","0.0068359375","1940","0.0002879706909605342","40","0.0002879706909605342","0","0.0002879706909605342","0.0002879706909605342","0.0002879706909605342","2:0.0015298028385751783;11:0.0035954528914638184;0:0.0022188059991422038","2:68;11:68;0:68","0.007080078125","0.0029296875","Yes"
"2","137.8554730521335","88.6460890893998","0.028076171875","0.00012137417331155232","0.05419921875","0.001953125","1940","0.0002617907916312993","40","0.0002617907916312993","0","0.0002617907916312993","0.0002617907916312993","0.0002617907916312993","1:0.0015298028385751783;3:0.0021388013670088357;12:0.0018310401428724143","1:68;3:68;12:68","0.028076171875","0.02685546875","Yes"
"3","141.56129694916334","98.36840522622349","0.007568359375","0.000010105610171802742","0.013671875","0.00146484375","1940","0.00021819130105756835","40","0.00021819130105756835","0","0.00021819130105756835","0.00021819130105756835","0.00021819130105756835","13:0.0020923484884336763;2:0.0021388013670088357;4:0.0014690217915226678","13:108;2:68;4:68","0.007568359375","0.005859375","Yes"
"4","197.84575295534165","79.81470090739752","0.014892578125","0.00007435426735419873","0.0244140625","0.00537109375","1940","0.00025809214550430974","40","0.00025809214550430974","0","0.00025809214550430974","0.00025809214550430974","0.00025809214550430974","3:0.0014690217915226678;5:0.004102743812703008;14:0.0014828498109843158","3:68;5:68;14:68","0.014892578125","0.008056640625","Yes"
"5","166.36147157794258","126.75791805935978","0.00537109375","0.00004005460120191622","0.01025390625","0.00048828125","1940","0.000675596604595589","40","0.000675596604595589","0","0.000675596604595589","0.000675596604595589","0.000675596604595589","6:0.005142520762504016;4:0.004102743812703008;15:0.004952076818406037","6:68;4:68;15:84","0.00537109375","0.00634765625","Yes"
"6","195.4119512515269","86.47484801096711","0.00830078125","0.00003269315894606394","0.01513671875","0.00146484375","1940","0.0004239550294386719","40","0.0004239550294386719","0","0.0004239550294386719","0.0004239550294386719","0.0004239550294386719","5:0.005142520762504016;7:0.010214462103021182;16:0.003780820876116031","5:68;7:68;16:68","0.00830078125","0.005615234375","Yes"
"7","15.616626731082743","21.9927458963626","0.019775390625","0.00001","0.03466796875","0.0048828125","1940","0.0012945054431175384","40","0.0012945054431175384","0","0.0012945054431175384","0.0012945054431175384","0.0012945054431175384","6:0.010214462103021182;8:0.013035183505771208","17:84;6:68;8:84","0.019775390625","0.01318359375","Yes"
"8","250.78999421142592","164.56107607757147","0.007568359375","0.001818431773115066","0.0126953125","0.00244140625","1940","0.00011149753127438738","40","0.00011149753127438738","0","0.00011149753127438738","0.00011149753127438738","0.00011149753127438738","9:0.0011922362102427808;18:0.0030017595170948597;7:0.013035183505771208","9:68;18:84;7:84","0.007568359375","0.004150390625","Yes"
"9","177.8603026888678","216.0291971400473","0.005126953125","0.00003712836746838187","0.01025390625","0","1940","0.0001997404637118087","40","0.0001997404637118087","0","0.0001997404637118087","0.0001997404637118087","0.0001997404637118087","8:0.0011922362102427808;19:0.0014101797251381831","8:68;19:68","0.005126953125","0.00244140625","Yes"
"10","111.28124735287419","115.14691389804909","0.0087890625","0.00001","0.013671875","0.00390625","1940","0.00035558653126736644","40","0.00035558653126736644","0","0.00035558653126736644","0.00035558653126736644","0.00035558653126736644","20:0.004074245467168253;11:0.0028375480810375053;0:0.0018929885171844463","20:68;11:68;0:68","0.0087890625","0.006591796875","Yes"
"11","43.34642887708209","26.20638301296423","0.021240234375","0.0005411175581563192","0.0341796875","0.00830078125","1940","0.0009186651770868296","40","0.0009186651770868296","0","0.0009186651770868296","0.0009186651770868296","0.0009186651770868296","1:0.0035954528914638184;10:0.0028375480810375053;12:0.0035300916342611566;21:0.0030425481771762797","1:68;10:68;12:68;21:68","0.021240234375","0.0126953125","Yes"
"12","80.17927771658725","65.3870726978996","0.005859375","0.000020156267525311787","0.01171875","0","1940","0.0003886729138464684","40","0.0003886729138464684","0","0.0003886729138464684","0.0003886729138464684","0.0003886729138464684","13:0.001910939111165022;22:0.0016937767182915175;2:0.0018310401428724143;11:0.0035300916342611566","13:68;22:68;2:68;11:68","0.005859375","0.00537109375","Yes"
"13","162.8143111588539","88.04540031837351","0.017333984375","0.00003297707347555678","0.0234375","0.01123046875","1940","0.00030006540902171187","40","0.00030006540902171187","0","0.00030006540902171187","0.00030006540902171187","0.00030006540902171187","3:0.0020923484884336763;12:0.001910939111165022;14:0.0019789086231944697;23:0.0027251033933223534","3:108;12:68;14:68;23:68","0.017333984375","0.011474609375","Yes"
"14","159.36069348722356","93.36696542050055","0.007568359375","0.0000448635840078467","0.01318359375","0.001953125","1940","0.00023789194436120995","40","0.00023789194436120995","0","0.00023789194436120995","0.00023789194436120995","0.00023789194436120995","15:0.0022905363648558774;24:0.008948640703134364;13:0.0019789086231944697;4:0.0014828498109843158","15:68;24:68;13:68;4:68","0.007568359375","0.005859375","Yes"
"15","194.1079270587893","116.44975817188023","0.013916015625","0.00001","0.02490234375","0.0029296875","1940","0.0003015281349763222","40","0.0003015281349763222","0","0.0003015281349763222","0.0003015281349763222","0.0003015281349763222","14:0.0022905363648558774;16:0.006590558462943347;25:0.005023079879642067;5:0.004952076818406037","14:68;16:68;25:68;5:84","0.013916015625","0.01318359375","Yes"
"16","194.7473437924758","136.7003596648034","0.007080078125","0.00004997376385538112","0.009765625","0.00439453125","1940","0.00022898297987271638","40","0.00022898297987271638","0","0.00022898297987271638","0.00022898297987271638","0.00022898297987271638","15:0.006590558462943347;26:0.009609613629132624;6:0.003780820876116031","15:68;17:84;26:68;6:68","0.007080078125","0.0029296875","Yes"
"17","","","0.506103515625","","0.544921875","0.46728515625","1940","","40","","0","","","","","7:84;16:84;18:84;27:84","0.506103515625","0.482421875","Yes"
"18","73.00726584149204","29.067510357984432","0.00830078125","0.000021668092406346853","0.0146484375","0.001953125","1940","0.0005015954642732377","40","0.0005015954642732377","0","0.0005015954642732377","0.0005015954642732377","0.0005015954642732377","8:0.0030017595170948597;19:0.002744355702103879;28:0.0024519729077751296","8:84;19:68;28:68;17:84","0.00830078125","0.005126953125","Yes"
"19","281.51904564339986","141.2777955423709","0.007080078125","0.00002731898676701961","0.01318359375","0.0009765625","1940","0.0002136287408631412","40","0.0002136287408631412","0","0.0002136287408631412","0.0002136287408631412","0.0002136287408631412","18:0.002744355702103879;9:0.0014101797251381831;29:0.0013069081028683482","18:68;9:68;29:68","0.007080078125","0.0087890625","Yes"
"20","197.28348716457467","131.466769311028","0.00830078125","0.00011537645340034269","0.015625","0.0009765625","1940","0.00018479172222314884","40","0.00018479172222314884","0","0.00018479172222314884","0.00018479172222314884","0.00018479172222314884","10:0.004074245467168253;21:0.002393846096607033;30:0.0017939102950954577","10:68;21:68;30:68","0.00830078125","0.008056640625","Yes"
