Qubit,T1 (us),T2 (us),Readout assignment error,Init error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,XSLOW error,CZ error,Gate length (ns),MEASURE error,MEASURE_2 error,Operational
0,196.2332706614844,117.04905393070827,0.004638671875,1e-05,0.008544921875,0.000732421875,1940,0.0006918809247389078,40,0.0006918809247389078,0,0.0006918809247389078,0.0006918809247389078,0.0006918809247389078,1:0.007123323489373806;10:0.005286758655372148,1:68;10:68,0.004638671875,0.00439453125,Yes
1,116.85398803453167,132.23839679838747,0.0086669921875,1e-05,0.009033203125,0.00830078125,1940,0.000214559020962059,40,0.000214559020962059,0,0.000214559020962059,0.000214559020962059,0.000214559020962059,2:0.0035124829124845436;11:0.005648746765201607;0:0.007123323489373806,2:68;11:68;0:68,0.0086669921875,0.00244140625,Yes
2,164.6737164672885,107.2338445930793,0.0076904296875,8.215970700142176e-05,0.013671875,0.001708984375,1940,0.00030431784703205845,40,0.00030431784703205845,0,0.00030431784703205845,0.00030431784703205845,0.00030431784703205845,1:0.0035124829124845436;3:0.0022539474865376496;12:0.0017363497016842089,1:68;3:68;12:68,0.0076904296875,0.009521484375,Yes
3,70.51701626484761,105.06317267759835,0.002685546875,2.0150709896285197e-05,0.0048828125,0.00048828125,1940,0.0002519013814154802,40,0.0002519013814154802,0,0.0002519013814154802,0.0002519013814154802,0.0002519013814154802,13:0.0027279847110928124;2:0.0022539474865376496;4:0.0014971368972252208,13:108;2:68;4:68,0.002685546875,0.003173828125,Yes
4,229.42200999164112,107.5868200463085,0.0401611328125,4.40288881350494e-05,0.072998046875,0.00732421875,1940,0.00019309458113275435,40,0.00019309458113275435,0,0.00019309458113275435,0.00019309458113275435,0.00019309458113275435,3:0.0014971368972252208;5:0.0016196212600577964;14:0.001718971990689766,3:68;5:68;14:68,0.0401611328125,0.00439453125,Yes
5,168.54716470911055,157.35400373170935,0.0032958984375,2.3907185500375084e-05,0.00537109375,0.000732421875,1940,0.00019941003678981982,40,0.00019941003678981982,0,0.00019941003678981982,0.00019941003678981982,0.00019941003678981982,6:0.0015732252305489247;4:0.0016196212600577964;15:0.0016840267275829712,6:68;4:68;15:84,0.0032958984375,0.004638671875,Yes
6,201.21682302338735,133.40595328769803,0.0045166015625,3.121425907411146e-05,0.007568359375,0.00146484375,1940,0.00015356386911310135,40,0.00015356386911310135,0,0.00015356386911310135,0.00015356386911310135,0.00015356386911310135,5:0.0015732252305489247;7:0.008497068846452766;16:0.0019138089589231244,5:68;7:68;16:68,0.0045166015625,0.0048828125,Yes
7,16.81135950779867,25.263016219144067,0.0218505859375,1.9441771164055118e-05,0.037109375,0.006591796875,1940,0.001078782095336488,40,0.001078782095336488,0,0.001078782095336488,0.001078782095336488,0.001078782095336488,17:1;6:0.008497068846452766;8:0.012949976870338303,17:84;6:68;8:84,0.0218505859375,0.009521484375,Yes
8,257.7739922445197,206.85413018777686,0.0068359375,0.001818431773115066,0.011962890625,0.001708984375,1940,0.0001374121489441407,40,0.0001374121489441407,0,0.0001374121489441407,0.0001374121489441407,0.0001374121489441407,9:0.0013498664538636185;18:0.002267249851301195;7:0.012949976870338303,9:68;18:84;7:84,0.0068359375,0.00634765625,Yes
9,164.04927948447292,214.6455467916276,0.0081787109375,0.0007336366877388173,0.014404296875,0.001953125,1940,0.00024983612267201493,40,0.00024983612267201493,0,0.00024983612267201493,0.00024983612267201493,0.00024983612267201493,8:0.0013498664538636185;19:0.0015998042877957142,8:68;19:68,0.0081787109375,0.001953125,Yes
