n,L,k,level,shots,patch,edge,M,var,lo,hi,shot_var,reported_std2,signal,sig_lo,sig_hi,kurtosis,mean_z,eps_N,hi_lo,criterion_b_pass,pred,pred_sigma,pred_kind,pred_source,pred_commit,pred_frozen,pred_n,pred_note,pred_noiseless,ratio_raw,ratio_signal,z_raw,z_signal,inside_ci,flag,jobs
19,1,1,0,4096,4x5,93_103,200,0.208424,0.174152,0.242736,9.65009e-05,9.65009e-05,0.208327,0.174055,0.242639,2.35117,1.36247,0.000463218,1.39382,True,0.226044,0.0187864,exact,gate1_predictions.csv,eece115,False,20,19 Sep record; the L = 1 cone is placement-independent,0.242098,0.922049,0.921622,-0.686365,-0.690124,True,,dao1hnv8gn2s739n8v8g
19,1,1,1,4096,4x5,93_103,200,0.221806,0.185513,0.258254,0.000103488,0.000103488,0.221703,0.185409,0.258151,2.35148,1.37391,0.000466785,1.39211,True,0.226044,0.0187864,exact,gate1_predictions.csv,eece115,False,20,19 Sep record; the L = 1 cone is placement-independent,0.242098,0.981252,0.980794,-0.160487,-0.164406,True,,dao1hqf8gn2s739n8vbg
19,2,1,0,4096,4x5,93_103,200,0.0815907,0.0620854,0.102859,0.000110829,0.000110829,0.0814799,0.0619746,0.102748,4.27548,-1.19521,0.0013602,1.65673,True,0.0646165,0.00816697,exact,main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,exact (M = 200 sample) row: no propagation row at this depth,0.0719324,1.26269,1.26098,1.28352,1.27514,True,,dao1hnv8gn2s739n8v8g dao1holr85ps73feltg0
19,2,1,1,4096,4x5,93_103,200,0.0880937,0.0671237,0.11107,0.000115916,0.000115916,0.0879778,0.0670077,0.110955,4.23997,-1.18553,0.00131756,1.65471,True,0.0646165,0.00816697,exact,main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,exact (M = 200 sample) row: no propagation row at this depth,0.0719324,1.36333,1.36154,1.69261,1.68425,False,,dao1hqf8gn2s739n8vbg dao1hqn8gn2s739n8vd0
19,4,1,0,4096,4x5,93_103,200,0.00577772,0.00411387,0.00765357,0.000120905,0.000120905,0.00565682,0.00399296,0.00753266,5.84903,1.06722,0.0213733,1.86043,True,0.00942222,2.7836e-05,propagation,main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,0.0114017,0.613202,0.60037,-4.03407,-4.1679,False,Deviation 19 flag,dao1holr85ps73feltg0
19,4,1,1,4096,4x5,93_103,200,0.00628335,0.00449642,0.00829325,0.000126121,0.000126121,0.00615722,0.0043703,0.00816713,5.7789,1.34797,0.0204834,1.84441,True,0.00942222,2.7836e-05,propagation,main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,0.0114017,0.666865,0.653479,-3.2393,-3.36946,False,Deviation 19 flag,dao1hqn8gn2s739n8vd0
19,8,1,0,4096,4x5,93_103,200,0.000303046,0.000196242,0.000436376,0.000122008,0.000122008,0.000181038,7.42334e-05,0.000314368,9.53724,-1.19894,0.673938,2.22367,True,0.000244994,4.0583e-06,propagation (not converged),main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,0.000359056,1.23695,0.738948,0.945564,-1.04173,True,,dao1hp82fm4c73f4r33g
19,8,1,1,4096,4x5,93_103,200,0.0003231,0.000216914,0.000455996,0.000127121,0.000127121,0.000195978,8.9793e-05,0.000328875,8.37236,-0.378781,0.64865,2.10219,True,0.000244994,4.0583e-06,propagation (not converged),main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,0.000359056,1.31881,0.799932,1.27778,-0.801871,True,,dao1hrg2fm4c73f4r36g
19,12,1,0,4096,4x5,93_103,200,0.000133341,0.000108233,0.000159477,0.000122039,0.000122039,1.13016e-05,-1.38063e-05,3.74378e-05,2.97356,0.251161,10.7984,1.47346,True,8.39009e-06,5.8904e-07,propagation (not converged),main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,1.91601e-05,15.8927,1.34702,9.54845,0.222489,False,exploratory (shot floor; Deviation 37),dao1hp82fm4c73f4r33g dao1hptr85ps73feltig
19,12,1,1,4096,4x5,93_103,200,0.000125097,0.000102135,0.000149142,0.000128171,0.000128171,-3.07396e-06,-2.60358e-05,2.09717e-05,2.87257,1.39884,,1.46025,True,8.39009e-06,5.8904e-07,propagation (not converged),main_grid_redraw_2026-09-20T1344.csv,c84ecde,False,19,,1.91601e-05,14.9101,-0.36638,9.72038,-0.954829,False,exploratory (shot floor; Deviation 37),dao1hrg2fm4c73f4r36g dao1hsdr85ps73feltm0
