n,M,max_abs_error,mean_abs_error,seconds
4,100,2.7755575615628914e-16,7.837643294789087e-17,0.16052031517028809
5,100,2.498001805406602e-16,6.607415183295783e-17,0.18054914474487305
6,100,4.163336342344337e-16,6.644681244843184e-17,0.2303931713104248
7,100,2.220446049250313e-16,7.145307362823628e-17,0.2646350860595703
8,100,3.183217578417441e-16,8.29944311653329e-17,0.3049495220184326
9,100,4.755725774665577e-16,1.180932082710498e-16,0.33359694480895996
10,100,5.551115123125783e-16,1.5276522245084587e-16,0.3827402591705322
11,100,6.001558774146147e-16,1.985830863936119e-16,0.4978780746459961
12,100,9.463729713082847e-16,3.290580590021722e-16,0.6112253665924072
13,100,1.7313217916606338e-15,4.3426348189614516e-16,0.7964658737182617
14,100,2.23562487966511e-15,5.891105321143906e-16,2.352618455886841
15,100,3.0058421029988125e-15,7.253844837514861e-16,41.889992237091064
16,100,3.5154673107691244e-15,1.0138375233008121e-15,40.93161201477051
17,100,4.95065007868542e-15,1.6358886615085479e-15,42.94835066795349
18,100,6.701553154504205e-15,1.815528840457291e-15,48.51179242134094
19,100,8.170903325688608e-15,3.168208586495146e-15,51.539650440216064
20,100,1.7749582185977442e-14,4.3137492476202446e-15,73.24829888343811
