family,n,L,M,variance,ci_low,ci_high,mean,analytic,seconds,edge,patch,shot_var_4096
chain,4,1,1000,0.06730042425983272,0.059393508672042385,0.07521187488438585,-0.008416187856926265,0.0625,2.8972489833831787,,,
chain,5,1,1000,0.03238819884091985,0.02763224204901681,0.03739501106862706,-0.01182766978775622,0.03125,2.0240495204925537,,,
chain,6,1,1000,0.018510919649461076,0.014879081501793725,0.022613224663352086,0.00035171368305342776,0.015625,2.8199265003204346,,,
chain,7,1,1000,0.009356242143661868,0.00685088394090995,0.012250263812249742,-0.0013210843655826123,0.0078125,3.1179823875427246,,,
chain,8,1,1000,0.004163513583586558,0.0029640957724490664,0.005597267465512127,0.0013711506606491443,0.00390625,4.351728916168213,,,
chain,9,1,1000,0.0020827636749299818,0.0014085241626372478,0.0028641976848391786,-0.0008844862139164024,0.001953125,4.421875238418579,,,
chain,10,1,1000,0.000913775443203659,0.0006469142023284618,0.0012234333633973822,0.002100134439791576,0.0009765625,4.5992395877838135,,,
chain,11,1,1000,0.0004888230213824446,0.0003313228768863029,0.0006715436910902099,-0.0005352833300452302,0.00048828125,6.063187122344971,,,
chain,12,1,1000,0.00018015163792589739,0.0001151161783654342,0.0002532272770612046,0.0006398064031132588,0.000244140625,6.17721700668335,,,
chain,13,1,300,4.5330778953474044e-05,2.2381208519330595e-05,7.357338957379534e-05,-0.0004965026359788582,0.0001220703125,2.401643753051758,,,
chain,14,1,300,2.7271487661791093e-05,8.03942514417715e-06,5.8427342789597124e-05,0.00010234165362655456,6.103515625e-05,6.72182822227478,,,
chain,15,1,300,9.69094487046977e-06,3.1705093890984024e-06,1.9444499061631195e-05,-0.00011451303001741991,3.0517578125e-05,12.414599418640137,,,
chain,16,1,300,7.0386276029918694e-06,2.3370335576685456e-06,1.3217270876792807e-05,-0.00010006375217946705,1.52587890625e-05,14.109377384185791,,,
chain,17,1,300,2.922289369063829e-06,1.0519318617038565e-06,5.270276295247831e-06,0.00014222870361323367,7.62939453125e-06,23.102880001068115,,,
chain,18,1,300,6.769570945451349e-07,1.7026035449966323e-07,1.437346973469359e-06,-4.795290720404881e-05,3.814697265625e-06,59.948832750320435,,,
chain,19,1,300,5.392117352981386e-07,5.651193309526008e-08,1.445567920529473e-06,-4.0794894722627946e-05,1.9073486328125e-06,134.4127447605133,,,
chain,20,1,300,4.100434469950864e-08,1.889455695572319e-08,6.998388242797525e-08,-3.13401903898336e-06,9.5367431640625e-07,386.9624764919281,,,
hea,12,1,200,0.28344969613540255,0.24415634837456904,0.32203340795538593,-0.020943561659056247,,1.4938249588012695,11_21,4x3,8.758897943973484e-05
hea,12,2,200,0.11751637429663589,0.09296327288367806,0.14235025187855008,-0.022305327536621736,,2.490260601043701,11_21,4x3,0.00010773604491434708
hea,12,4,200,0.023761982029245603,0.015989763561866373,0.03285317663567357,-0.020397932409519422,,4.459752321243286,11_21,4x3,0.00011913339260672819
hea,16,1,200,0.2264289471541809,0.19102485817944684,0.26199187083778386,0.06684420079287964,,3.1483726501464844,11_12,4x4,9.402283330101943e-05
hea,16,2,200,0.08260303028076452,0.06619005033970601,0.09996298628703765,-0.03667588922445406,,7.041425704956055,11_12,4x4,0.00011187315234622008
hea,16,4,200,0.015287977823502852,0.011458404273651274,0.01941560059582225,0.015166145102941982,,13.561267614364624,11_12,4x4,0.00012018535767923965
